file,array_idx,byte_offset,marker_hex,identity,f1,f2,f3,f4,prof_est_f1x1.088
prosim1.xtc,23,478,0x15,ID10,0.908616,0.555143,14238.486,2492.629,0.9886
prosim1.xtc,24,495,0x15,ID09,0.818824,0.549020,14717.294,2498.118,0.8909
prosim1.xtc,25,512,0x15,ID06,0.775056,0.617080,15203.812,2495.736,0.8433
prosim1.xtc,26,529,0x15,ID11,1.019231,1.014493,15499.115,2220.203,1.1089
prosim1.xtc,27,546,0x15,ID10,0.908616,0.555143,16038.486,2492.629,0.9886
prosim1.xtc,28,563,0x15,ID02,0.807425,0.569975,16522.566,2510.494,0.8785
prosim1.xtc,29,580,0x15,ID04,0.639706,0.663704,13705.713,3468.039,0.6960
prosim1.xtc,30,597,0x15,ID06,0.775056,0.617080,14146.812,3529.735,0.8433
prosim1.xtc,31,614,0x15,ID06,0.775056,0.617080,14596.812,3529.735,0.8433
prosim1.xtc,32,631,0x15,ID01,0.850856,0.610354,15045.680,3523.460,0.9257
prosim1.xtc,33,648,0x15,ID11,1.019231,1.014493,15342.115,3254.203,1.1089
prosim1.xtc,34,665,0x15,ID08,1.031250,0.677761,15836.781,3478.248,1.1220
prosim1.xtc,35,682,0x15,ID05,0.809302,0.558603,16378.859,3543.885,0.8805
prosim1.xtc,36,699,0x15,ID08,1.031250,0.677761,13585.781,4508.248,1.1220
prosim1.xtc,37,716,0x15,ID04,0.639706,0.663704,14154.713,4498.038,0.6960
prosim1.xtc,38,733,0x15,ID09,0.818824,0.549020,14559.294,4562.117,0.8909
prosim1.xtc,39,750,0x15,ID01,0.850856,0.610354,15044.680,4553.461,0.9257
prosim1.xtc,40,767,0x15,ID02,0.807425,0.569975,15464.566,4574.493,0.8785
prosim1.xtc,41,784,0x15,ID11,1.019231,1.014493,15791.115,4284.203,1.1089
prosim1.xtc,42,801,0x15,ID03,0.818824,0.583333,16393.684,4557.417,0.8909
prosim1.xtc,43,818,0x15,ID02,0.807425,0.569975,16814.566,4574.493,0.8785
prosim1.xtc,44,835,0x12,TERMINATOR_0x12,2.800361,2.800416,2926580992.000,0.000,3.0468
