file,n,body_tag,f1,f2,f3,f4,identity,packed_offset,packed_size,packed_payload_sha1_8
prosim.xtc,1,0x15,2.8004531860351562,2.8004164695739746,-8998.0,1948.0,SENT,1350,441,53a1cacf
prosim.xtc,2,0x15,2.8004531860351562,2.8004164695739746,672.0,-2098.0,SENT,1791,957,b246fb7a
prosim.xtc,3,0x15,2.8004531860351562,2.8004164695739746,-11063.0,1608.0,SENT,2748,494,b52b721e
prosim.xtc,4,0x15,0.8508557677268982,0.6103542447090149,10003.6796875,1999.46044921875,ID01,3242,415,9b3fe4ca
prosim.xtc,5,0x15,0.8074246048927307,0.5699745416641235,10423.56640625,2020.49365234375,ID02,3657,250,8180a67b
prosim.xtc,6,0x15,0.818823516368866,0.5833333134651184,10902.6845703125,2003.416748046875,ID03,3907,309,e44c6820
prosim.xtc,7,0x15,0.6397058963775635,0.6637036800384521,11363.712890625,1944.03857421875,ID04,4216,239,4065a119
prosim.xtc,8,0x15,2.8004531860351562,2.8004164695739746,2065.0,340.0,SENT,4455,70,7f3c125d
prosim.xtc,9,0x15,0.8093023300170898,0.5586034655570984,10263.8603515625,4350.88525390625,ID05,4525,308,caaa6958
prosim.xtc,10,0x15,0.7750557065010071,0.6170799136161804,10731.8125,4336.7353515625,ID06,4833,378,7eff30e3
prosim.xtc,11,0x15,0.9666666388511658,0.5941644310951233,11168.2666015625,4343.87548828125,ID07,5211,287,986b50bc
prosim.xtc,12,0x15,1.03125,0.6777609586715698,11521.78125,4285.248046875,ID08,5498,115,256368e5
prosim.xtc,13,0x15,0.9666666388511658,0.5941644310951233,12068.2666015625,4343.87548828125,ID07,5613,289,67723a36
prosim.xtc,14,0x15,0.8508557677268982,0.6103542447090149,15599.6796875,3356.46044921875,ID01,5902,415,c587b5ab
prosim.xtc,15,0x15,0.8074246048927307,0.5699745416641235,16019.56640625,3377.49365234375,ID02,6317,250,5fb9e952
prosim.xtc,16,0x15,0.818823516368866,0.5833333134651184,16498.68359375,3360.416748046875,ID03,6567,309,941a7489
prosim.xtc,17,0x15,0.6397058963775635,0.6637036800384521,16959.712890625,3301.03857421875,ID04,6876,233,9e837425
prosim.xtc,18,0x15,0.8093023300170898,0.5586034655570984,15293.8603515625,4518.88525390625,ID05,7109,308,4bd83b8f
prosim.xtc,19,0x15,0.7750557065010071,0.6170799136161804,15761.8125,4504.7353515625,ID06,7417,378,867beae7
prosim.xtc,20,0x15,0.9666666388511658,0.5941644310951233,16198.2666015625,4511.87548828125,ID07,7795,287,35a5bdc7
prosim.xtc,21,0x15,1.03125,0.6777609586715698,16551.78125,4453.248046875,ID08,8082,115,50c7a2c3
prosim.xtc,22,0x15,0.9666666388511658,0.5941644310951233,17098.265625,4511.87548828125,ID07,8197,110,d522eb62
prosim.xtc,23,0x15,0.818823516368866,0.5490196347236633,10114.2939453125,6511.1171875,ID03,8307,520,3c222997
prosim.xtc,24,0x15,0.8093023300170898,0.5586034655570984,10582.8603515625,6522.8857421875,ID05,8827,308,f722fea1
prosim.xtc,25,0x15,0.8508557677268982,0.6103542447090149,11049.6796875,6502.4609375,ID01,9135,415,50ffb74f
