=== prosim.xtc: clean structured region 78 .. 912 (len 834), file size 18963, structured = 4.81% of file ===
Total clean records: 50
Tag census: 0x15=48  0x12=2
  off=   427 tag=0x15 floats=[0.8188, 0.5833, 7112.6846, 9247.4170]
  off=   444 tag=0x15 floats=[0.8074, 0.5700, 7533.5659, 9264.4932]
  off=   461 tag=0x15 floats=[0.8074, 0.5700, 13822.5664, 2510.4937]
  off=   478 tag=0x15 floats=[0.9086, 0.5551, 14238.4863, 2492.6294]
  off=   495 tag=0x15 floats=[0.8188, 0.5490, 14717.2939, 2498.1177]
  off=   512 tag=0x15 floats=[0.7751, 0.6171, 15203.8125, 2495.7356]
  off=   529 tag=0x15 floats=[1.0192, 1.0145, 15499.1152, 2220.2029]
  off=   546 tag=0x15 floats=[0.9086, 0.5551, 16038.4863, 2492.6294]
  off=   563 tag=0x15 floats=[0.8074, 0.5700, 16522.5664, 2510.4937]
  off=   580 tag=0x15 floats=[0.6397, 0.6637, 13705.7129, 3468.0386]
  off=   597 tag=0x15 floats=[0.7751, 0.6171, 14146.8125, 3529.7354]
  off=   614 tag=0x15 floats=[0.7751, 0.6171, 14596.8125, 3529.7354]
  off=   631 tag=0x15 floats=[0.8509, 0.6104, 15045.6797, 3523.4604]
  off=   648 tag=0x15 floats=[1.0192, 1.0145, 15342.1152, 3254.2031]
  off=   665 tag=0x15 floats=[1.0312, 0.6778, 15836.7812, 3478.2480]
  off=   682 tag=0x15 floats=[0.8093, 0.5586, 16378.8594, 3543.8853]
  off=   699 tag=0x15 floats=[1.0312, 0.6778, 13585.7812, 4508.2480]
  off=   716 tag=0x15 floats=[0.6397, 0.6637, 14154.7129, 4498.0381]
  off=   733 tag=0x15 floats=[0.8188, 0.5490, 14559.2939, 4562.1172]
  off=   750 tag=0x15 floats=[0.8509, 0.6104, 15044.6797, 4553.4609]
  off=   767 tag=0x15 floats=[0.8074, 0.5700, 15464.5664, 4574.4932]
  off=   784 tag=0x15 floats=[1.0192, 1.0145, 15791.1152, 4284.2031]
  off=   801 tag=0x15 floats=[0.8188, 0.5833, 16393.6836, 4557.4170]
  off=   818 tag=0x15 floats=[0.8074, 0.5700, 16814.5664, 4574.4932]
  off=   835 tag=0x12 floats=[2.8004, 2.8004]
  off=   844 tag=0x15 floats=[0.8093, 0.5586, 14247.8604, 6017.8853]
  off=   861 tag=0x15 floats=[0.8509, 0.6104, 14714.6797, 5997.4604]
  off=   878 tag=0x15 floats=[0.9667, 0.5942, 15152.2666, 6010.8755]
  off=   895 tag=0x15 floats=[0.8093, 0.5586, 15597.8604, 6017.8853]
  off=   912 tag=0x15 floats=[0.8188, 0.5490, 16029.2939, 6006.1177]
  off=   929 tag=0x15 floats=[1.0192, 1.0145, 16361.1152, 5728.2031]
  off=   946 tag=0x15 floats=[0.8188, 0.5490, 16929.2949, 6006.1177]
  off=   963 tag=0x12 floats=[2.8004, 2.8004]
  off=   972 tag=0x15 floats=[0.7751, 0.6171, 2379.8130, 14390.7354]
  off=   989 tag=0x15 floats=[1.0192, 1.0145, 2675.1155, 14115.2031]
  off=  1006 tag=0x15 floats=[1.0312, 0.6778, 3169.7812, 14339.2480]
  off=  1023 tag=0x15 floats=[0.6397, 0.6637, 3738.7131, 14329.0381]
  off=  1040 tag=0x15 floats=[0.8509, 0.6104, 4178.6797, 14384.4609]
  off=  1057 tag=0x15 floats=[0.8074, 0.5700, 9513.5664, 13429.4932]
  off=  1074 tag=0x15 floats=[1.0312, 0.6778, 9884.7812, 13363.2480]
  off=  1091 tag=0x15 floats=[0.8188, 0.5833, 10442.6846, 13412.4170]
  off=  1108 tag=0x15 floats=[0.8188, 0.5490, 10858.2939, 13417.1172]
  off=  1125 tag=0x12 floats=[2.8005, 2.8000]
  off=  1134 tag=0x15 floats=[0.8188, 0.5490, 3185.2942, 18629.1172]
  off=  1151 tag=0x15 floats=[0.8093, 0.5586, 3653.8604, 18640.8848]
  off=  1168 tag=0x15 floats=[0.8509, 0.6104, 4120.6797, 18620.4609]
  off=  1185 tag=0x15 floats=[0.9086, 0.5551, 4506.4858, 18623.6289]
  off=  1202 tag=0x15 floats=[0.7751, 0.6171, 5021.8130, 18626.7363]
  off=  1219 tag=0x15 floats=[1.0312, 0.6778, 4115.7812, 22775.2480]
  off=  1236 tag=0x15 floats=[1.0312, 0.6778, 4565.7812, 22775.2480]
  off=  1253 tag=0x15 floats=[0.6397, 0.6637, 5134.7134, 22765.0391]
  off=  1270 tag=0x15 floats=[0.8188, 0.5833, 5573.6846, 22824.4160]
  off=  1287 tag=0x15 floats=[1.0192, 1.0145, 5871.1152, 22551.2031]
  off=  1304 tag=0x15 floats=[0.8074, 0.5700, 6444.5659, 22841.4941]
  off=  1321 tag=0x15 floats=[0.6397, 0.6637, 6934.7134, 22765.0391]
  off=  1338 tag=0x15 floats=[1.0312, 0.6778, 7265.7812, 22775.2480]

====================================================================================================

