transform,k,file,value_type,scope,variant,patlen,n_records_hit,n_available,mode_offset,expected_by_chance
xor,17,a,own_f1,per_record,i16BE_x1,2,8,48,302,0.000732421875
xor,17,a,own_f2,per_record,u16BE_x1,2,8,48,302,0.000732421875
xor,17,a,own_f2,per_record,i16BE_x1,2,8,48,302,0.000732421875
xor,17,a,own_f4,per_record,bcd_normal,2,2,48,50,0.000732421875
xor,18,a,own_f1,per_record,u16LE_x1,2,4,48,70,0.000732421875
xor,18,a,own_f1,per_record,i16LE_x1,2,4,48,70,0.000732421875
xor,18,a,own_f2,per_record,u16LE_x1,2,4,48,70,0.000732421875
xor,18,a,own_f2,per_record,i16LE_x1,2,4,48,70,0.000732421875
xor,18,a,own_f2,per_record,u16LE_x100,2,5,48,333,0.000732421875
xor,18,a,own_f2,per_record,i16LE_x100,2,5,48,333,0.000732421875
xor,18,a,own_f3_delta,per_record,bcd_normal,2,2,36,80,0.00054931640625
xor,19,a,own_f1,per_record,u16BE_x1,2,4,48,70,0.000732421875
xor,19,a,own_f1,per_record,i16BE_x1,2,4,48,70,0.000732421875
xor,19,a,own_f2,per_record,u16BE_x1,2,4,48,70,0.000732421875
xor,19,a,own_f2,per_record,i16BE_x1,2,4,48,70,0.000732421875
xor,20,a,own_f1,per_record,u16LE_x10,2,2,48,15,0.000732421875
xor,20,a,own_f1,per_record,i16LE_x10,2,2,48,15,0.000732421875
xor,20,a,own_f4,per_record,bcd_swapped,2,2,48,162,0.000732421875
xor,24,a,own_f1,per_record,u16LE_x10,2,2,48,150,0.000732421875
xor,24,a,own_f1,per_record,i16LE_x10,2,2,48,150,0.000732421875
xor,24,a,own_f4,per_record,bcd_swapped,2,2,48,306,0.000732421875
xor,24,a,own_f3_delta,per_record,u16BE_x10,2,2,36,150,0.00054931640625
xor,24,a,own_f3_delta,per_record,i16BE_x10,2,2,36,150,0.00054931640625
xor,25,a,own_f4,per_record,u16LE_x1,2,2,48,2,0.000732421875
xor,25,a,own_f4,per_record,i16LE_x1,2,2,48,2,0.000732421875
xor,28,a,own_f1,per_record,u16BE_x10,2,2,48,15,0.000732421875
xor,28,a,own_f1,per_record,i16BE_x10,2,2,48,15,0.000732421875
xor,31,a,own_f4,per_record,u16BE_x1,2,2,48,14,0.000732421875
xor,31,a,own_f4,per_record,i16BE_x1,2,2,48,14,0.000732421875
xor,32,a,own_f1,per_record,u16BE_x1,2,5,48,282,0.000732421875
xor,32,a,own_f1,per_record,i16BE_x1,2,5,48,282,0.000732421875
xor,32,a,own_f2,per_record,u16BE_x1,2,5,48,282,0.000732421875
xor,32,a,own_f2,per_record,i16BE_x1,2,5,48,282,0.000732421875
xor,32,a,own_f1,per_record,u16LE_x100,2,4,48,50,0.000732421875
xor,32,a,own_f1,per_record,i16LE_x100,2,4,48,50,0.000732421875
xor,33,a,own_f1,per_record,u16LE_x1,2,5,48,282,0.000732421875
xor,33,a,own_f1,per_record,i16LE_x1,2,5,48,282,0.000732421875
xor,33,a,own_f2,per_record,u16LE_x1,2,5,48,282,0.000732421875
xor,33,a,own_f2,per_record,i16LE_x1,2,5,48,282,0.000732421875
xor,36,a,own_f1,per_record,u16LE_x10,2,6,48,70,0.000732421875
xor,36,a,own_f1,per_record,i16LE_x10,2,6,48,70,0.000732421875
xor,36,a,own_f1,per_record,u16BE_x10,2,6,48,71,0.000732421875
xor,36,a,own_f1,per_record,i16BE_x10,2,6,48,71,0.000732421875
xor,38,a,own_f1,per_record,u16BE_x100,2,4,48,19,0.000732421875
xor,38,a,own_f1,per_record,i16BE_x100,2,4,48,19,0.000732421875
xor,40,a,own_f2,per_record,u16LE_x100,2,4,48,179,0.000732421875
xor,40,a,own_f2,per_record,i16LE_x100,2,4,48,179,0.000732421875
xor,44,a,own_f1,per_record,u16LE_x10,2,6,48,71,0.000732421875
xor,44,a,own_f1,per_record,i16LE_x10,2,6,48,71,0.000732421875
xor,44,a,own_f1,per_record,u16BE_x10,2,6,48,70,0.000732421875
xor,44,a,own_f1,per_record,i16BE_x10,2,6,48,70,0.000732421875
xor,44,a,own_f2,per_record,u16BE_x100,2,5,48,333,0.000732421875
xor,44,a,own_f2,per_record,i16BE_x100,2,5,48,333,0.000732421875
xor,46,a,own_f4,per_record,u16LE_x1,2,2,48,53,0.000732421875
xor,46,a,own_f4,per_record,i16LE_x1,2,2,48,53,0.000732421875
xor,52,a,own_f1,per_record,u16LE_x100,2,3,48,80,0.000732421875
xor,52,a,own_f1,per_record,i16LE_x100,2,3,48,80,0.000732421875
xor,52,a,own_f4,per_record,u16LE_x1,2,2,48,42,0.000732421875
xor,52,a,own_f4,per_record,i16LE_x1,2,2,48,42,0.000732421875
xor,52,a,own_f2,per_record,u16BE_x100,2,4,48,73,0.000732421875
xor,52,a,own_f2,per_record,i16BE_x100,2,4,48,73,0.000732421875
xor,53,a,own_f4,per_record,u16LE_x1,2,2,48,271,0.000732421875
xor,53,a,own_f4,per_record,i16LE_x1,2,2,48,271,0.000732421875
xor,56,a,own_f2,per_record,u16LE_x10,2,4,48,85,0.000732421875
xor,56,a,own_f2,per_record,i16LE_x10,2,4,48,85,0.000732421875
xor,56,a,own_f4,per_record,u16BE_x1,2,2,48,31,0.000732421875
xor,56,a,own_f4,per_record,i16BE_x1,2,2,48,31,0.000732421875
xor,62,a,own_f2,per_record,u16BE_x10,2,4,48,85,0.000732421875
xor,62,a,own_f2,per_record,i16BE_x10,2,4,48,85,0.000732421875
xor,65,a,own_f1,per_record,u16BE_x100,2,4,48,50,0.000732421875
xor,65,a,own_f1,per_record,i16BE_x100,2,4,48,50,0.000732421875
xor,68,a,own_f1,per_record,u16LE_x10,2,2,48,38,0.000732421875
xor,68,a,own_f1,per_record,i16LE_x10,2,2,48,38,0.000732421875
xor,68,a,own_f3_delta,per_record,u16BE_x1,2,2,36,85,0.00054931640625
xor,68,a,own_f3_delta,per_record,i16BE_x1,2,2,36,85,0.00054931640625
xor,74,a,own_f4,per_record,bcd_swapped,2,2,48,185,0.000732421875
xor,76,a,own_f1,per_record,u16BE_x10,2,2,48,38,0.000732421875
xor,76,a,own_f1,per_record,i16BE_x10,2,2,48,38,0.000732421875
xor,83,a,own_f1,per_record,u16BE_x100,2,3,48,80,0.000732421875
xor,83,a,own_f1,per_record,i16BE_x100,2,3,48,80,0.000732421875
xor,84,a,own_f1,per_record,u16LE_x10,2,2,48,30,0.000732421875
xor,84,a,own_f1,per_record,i16LE_x10,2,2,48,30,0.000732421875
xor,87,a,own_f4,per_record,u16BE_x1,2,2,48,271,0.000732421875
xor,87,a,own_f4,per_record,i16BE_x1,2,2,48,271,0.000732421875
xor,92,a,own_f1,per_record,u16BE_x10,2,2,48,30,0.000732421875
xor,92,a,own_f1,per_record,i16BE_x10,2,2,48,30,0.000732421875
xor,96,a,own_f2,per_record,u16LE_x10,2,6,48,65,0.000732421875
xor,96,a,own_f2,per_record,i16LE_x10,2,6,48,65,0.000732421875
xor,100,a,own_f1,per_record,u16BE_x10,2,2,48,35,0.000732421875
xor,100,a,own_f1,per_record,i16BE_x10,2,2,48,35,0.000732421875
xor,100,a,own_f1,per_record,u16LE_x10,2,2,48,34,0.000732421875
xor,100,a,own_f1,per_record,i16LE_x10,2,2,48,34,0.000732421875
xor,100,a,own_f4,per_record,u16BE_x1,2,2,48,53,0.000732421875
xor,100,a,own_f4,per_record,i16BE_x1,2,2,48,53,0.000732421875
xor,102,a,own_f2,per_record,u16BE_x10,2,6,48,65,0.000732421875
xor,102,a,own_f2,per_record,i16BE_x10,2,6,48,65,0.000732421875
xor,108,a,own_f1,per_record,u16LE_x10,2,2,48,35,0.000732421875
xor,108,a,own_f1,per_record,i16LE_x10,2,2,48,35,0.000732421875
xor,108,a,own_f1,per_record,u16BE_x10,2,2,48,34,0.000732421875
xor,108,a,own_f1,per_record,i16BE_x10,2,2,48,34,0.000732421875
xor,109,a,own_f4,per_record,bcd_swapped,2,2,48,224,0.000732421875
xor,115,a,own_f1,per_record,u16LE_x100,2,4,48,19,0.000732421875
xor,115,a,own_f1,per_record,i16LE_x100,2,4,48,19,0.000732421875
xor,116,a,own_f1,per_record,u16LE_x10,2,2,48,17,0.000732421875
xor,116,a,own_f1,per_record,i16LE_x10,2,2,48,17,0.000732421875
