file,week,block_index,index_in_block,global_index,offset,tag,identity,f1,f2,f3,f4
prosim.xtc,9,0,27,27,546,0x15,ID03,0.818823516368866,0.5490196347236633,15327.2939453125,5541.1171875
prosim.xtc,9,0,28,28,563,0x15,ID05,0.8093023300170898,0.5586034655570984,15795.8603515625,5552.8857421875
prosim.xtc,9,0,29,29,580,0x15,ID01,0.8508557677268982,0.6103542447090149,16262.6796875,5532.4609375
prosim.xtc,9,0,30,30,597,0x15,ID09,0.9086161851882935,0.5551425218582153,16648.486328125,5535.6298828125
prosim.xtc,9,0,31,31,614,0x15,ID06,0.7750557065010071,0.6170799136161804,17163.8125,5538.7353515625
prosim.xtc,9,0,32,32,631,0x15,ID03,0.818823516368866,0.5833333134651184,16299.6845703125,7081.41650390625
prosim.xtc,9,0,33,33,648,0x15,ID05,0.8093023300170898,0.5586034655570984,16733.861328125,7097.88525390625
prosim.xtc,9,0,34,34,665,0x15,ID05,0.8093023300170898,0.5586034655570984,17183.861328125,7097.88525390625
prosim.xtc,9,0,35,35,682,0x15,ID03,0.818823516368866,0.5490196347236633,17615.294921875,7086.11767578125
prosim.xtc,9,0,36,36,699,0x15,ID03,0.818823516368866,0.5833333134651184,18099.685546875,7081.41650390625
prosim.xtc,9,0,37,37,716,0x15,ID08,1.03125,0.6777609586715698,4492.78125,12361.248046875
prosim.xtc,9,0,38,38,733,0x15,ID03,0.818823516368866,0.5833333134651184,5050.6845703125,12410.4169921875
prosim.xtc,9,0,39,39,750,0x15,ID03,0.818823516368866,0.5833333134651184,5500.6845703125,12410.4169921875
prosim.xtc,9,0,40,40,767,0x15,ID09,0.9086161851882935,0.5551425218582153,5887.48583984375,12409.6298828125
prosim.xtc,9,0,41,41,784,0x15,ID08,1.03125,0.6777609586715698,12474.78125,12578.248046875
prosim.xtc,9,0,42,42,801,0x15,ID03,0.818823516368866,0.5833333134651184,13032.6845703125,12627.4169921875
prosim.xtc,9,0,43,43,818,0x15,ID03,0.818823516368866,0.5833333134651184,13482.6845703125,12627.4169921875
prosim.xtc,9,0,44,44,835,0x15,ID09,0.9086161851882935,0.5551425218582153,13869.486328125,12626.6298828125
prosim.xtc,9,0,-1,45,852,0x12,SEP,2.8004531860351562,2.800811767578125,,
prosim.xtc,9,1,0,46,861,0x15,ID06,0.7750557065010071,0.6170799136161804,11940.8125,13830.7353515625
prosim.xtc,9,1,1,47,878,0x15,ID10,1.0192307233810425,1.0144927501678467,12236.115234375,13555.203125
prosim.xtc,9,1,2,48,895,0x15,ID04,0.6397058963775635,0.6637036800384521,12849.712890625,13769.0380859375
prosim1.xtc,13,0,0,0,87,0x15,ID02,0.8074246048927307,0.5699745416641235,3823.566162109375,2707.49365234375
prosim1.xtc,13,0,1,1,104,0x15,ID09,0.9086161851882935,0.5551425218582153,4239.48583984375,2689.62939453125
prosim1.xtc,13,0,2,2,121,0x15,ID03,0.818823516368866,0.5490196347236633,4718.2939453125,2695.11767578125
prosim1.xtc,13,0,3,3,138,0x15,ID06,0.7750557065010071,0.6170799136161804,5204.81298828125,2692.735595703125
prosim1.xtc,13,0,4,4,155,0x15,ID10,1.0192307233810425,1.0144927501678467,5500.115234375,2417.202880859375
prosim1.xtc,13,0,5,5,172,0x15,ID09,0.9086161851882935,0.5551425218582153,6039.48583984375,2689.62939453125
prosim1.xtc,13,0,6,6,189,0x15,ID02,0.8074246048927307,0.5699745416641235,6523.56591796875,2707.49365234375
prosim1.xtc,13,0,7,7,206,0x15,ID04,0.6397058963775635,0.6637036800384521,4088.713134765625,5862.03857421875
prosim1.xtc,13,0,8,8,223,0x15,ID06,0.7750557065010071,0.6170799136161804,4529.81298828125,5923.7353515625
prosim1.xtc,13,0,9,9,240,0x15,ID06,0.7750557065010071,0.6170799136161804,4979.81298828125,5923.7353515625
prosim1.xtc,13,0,10,10,257,0x15,ID01,0.8508557677268982,0.6103542447090149,5428.6796875,5917.46044921875
prosim1.xtc,13,0,11,11,274,0x15,ID10,1.0192307233810425,1.0144927501678467,5725.115234375,5648.203125
prosim1.xtc,13,0,12,12,291,0x15,ID08,1.03125,0.6777609586715698,6219.78125,5872.248046875
prosim1.xtc,13,0,13,13,308,0x15,ID05,0.8093023300170898,0.5586034655570984,6761.8603515625,5937.88525390625
prosim1.xtc,13,0,14,14,325,0x15,ID08,1.03125,0.6777609586715698,4304.78125,9198.248046875
prosim1.xtc,13,0,15,15,342,0x15,ID04,0.6397058963775635,0.6637036800384521,4873.71337890625,9188.0380859375
prosim1.xtc,13,0,16,16,359,0x15,ID03,0.818823516368866,0.5490196347236633,5278.2939453125,9252.1171875
prosim1.xtc,13,0,17,17,376,0x15,ID01,0.8508557677268982,0.6103542447090149,5763.6796875,9243.4609375
prosim1.xtc,13,0,18,18,393,0x15,ID02,0.8074246048927307,0.5699745416641235,6183.56591796875,9264.4931640625
prosim1.xtc,13,0,19,19,410,0x15,ID10,1.0192307233810425,1.0144927501678467,6510.115234375,8974.203125
prosim1.xtc,13,0,20,20,427,0x15,ID03,0.818823516368866,0.5833333134651184,7112.6845703125,9247.4169921875
prosim1.xtc,13,0,21,21,444,0x15,ID02,0.8074246048927307,0.5699745416641235,7533.56591796875,9264.4931640625
prosim1.xtc,13,0,22,22,461,0x15,ID02,0.8074246048927307,0.5699745416641235,13822.56640625,2510.49365234375
prosim1.xtc,13,0,23,23,478,0x15,ID09,0.9086161851882935,0.5551425218582153,14238.486328125,2492.62939453125
prosim1.xtc,13,0,24,24,495,0x15,ID03,0.818823516368866,0.5490196347236633,14717.2939453125,2498.11767578125
prosim1.xtc,13,0,25,25,512,0x15,ID06,0.7750557065010071,0.6170799136161804,15203.8125,2495.735595703125
prosim1.xtc,13,0,26,26,529,0x15,ID10,1.0192307233810425,1.0144927501678467,15499.115234375,2220.202880859375
prosim1.xtc,13,0,27,27,546,0x15,ID09,0.9086161851882935,0.5551425218582153,16038.486328125,2492.62939453125
prosim1.xtc,13,0,28,28,563,0x15,ID02,0.8074246048927307,0.5699745416641235,16522.56640625,2510.49365234375
