 14            2             750           600           10000         0 
 0             0             0 
 3             1             1             40 
 5             1             2             40 
 2             1             1             40 
 7             1             1             40 
 4             1             1             50 
 6             1             2             50 
 1             1             1             50 
 26            1             2             50 
 18            1             2             20 
